RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name
RGI60-02.00001,G238765E49002N,20049999,20069999,-121.235000000,  49.001900000, 2, 4,         0.073, 1938, 2135, 2039, 29.0, 345,   304, 0, 0, 0, 0, 0, 9,
RGI60-02.00002,G238410E49162N,20049999,20069999,-121.590000000,  49.161700000, 2, 4,         0.262, 1726, 2105, 1962, 29.6,   6,   817, 0, 0, 0, 0, 0, 9,
RGI60-02.00003,G238791E49163N,20049999,20069999,-121.209000000,  49.162700000, 2, 4,         0.307, 2002, 2309, 2127, 31.0, 100,   478, 0, 0, 0, 0, 0, 9,
RGI60-02.00004,G238399E49166N,20049999,20069999,-121.601000000,  49.165700000, 2, 4,         0.184, 1563, 1834, 1669, 25.3,  15,   376, 0, 0, 0, 0, 0, 9,
RGI60-02.00005,G238389E49167N,20049999,20069999,-121.611000000,  49.166600000, 2, 4,         0.274, 1668, 2101, 1937, 28.5,  50,   676, 0, 0, 0, 0, 0, 9,
RGI60-02.00006,G238782E49167N,20049999,20069999,-121.218000000,  49.166800000, 2, 4,         0.348, 1930, 2407, 2127, 39.8, 355,   498, 0, 0, 0, 0, 0, 9,
RGI60-02.00007,G238372E49171N,20049999,20069999,-121.628000000,  49.170900000, 2, 4,         0.172, 1681, 2049, 1915, 30.9,  19,   586, 0, 0, 0, 0, 0, 9,
RGI60-02.00008,G238340E49175N,20049999,20069999,-121.660000000,  49.175100000, 2, 4,         0.170, 1701, 1980, 1874, 23.3,  36,   729, 0, 0, 0, 0, 0, 9,
RGI60-02.00009,G237656E49429N,20049999,20069999,-122.344000000,  49.429100000, 2, 2,         0.066, 1444, 1776, 1592, 44.1,  52,   340, 0, 0, 0, 0, 0, 9,
RGI60-02.00010,G237647E49431N,20049999,20069999,-122.353000000,  49.431000000, 2, 2,         0.075, 1773, 2030, 1958, 37.0,  51,   309, 0, 0, 0, 0, 0, 9,
RGI60-02.00011,G237648E49435N,20049999,20069999,-122.352000000,  49.435300000, 2, 2,         0.072, 1315, 1632, 1535, 32.1,  78,   414, 0, 0, 0, 0, 0, 9,
RGI60-02.00012,G237643E49438N,20049999,20069999,-122.357000000,  49.438300000, 2, 2,         0.400, 1310, 1687, 1482, 17.1,  31,  1309, 0, 0, 0, 0, 0, 9,
RGI60-02.00013,G237638E49436N,20049999,20069999,-122.362000000,  49.436400000, 2, 2,         0.050, 1499, 1685, 1534, 21.6,  52,   335, 0, 0, 0, 0, 0, 9,
RGI60-02.00014,G234239E49457N,20049999,20069999,-125.761000000,  49.456700000, 2, 2,         0.419, 1447, 1683, 1597, 15.5, 211,   863, 0, 0, 0, 0, 0, 9,
RGI60-02.00015,G234246E49466N,20049999,20069999,-125.754000000,  49.465800000, 2, 2,         0.060, 1384, 1581, 1495, 31.2,  34,   334, 0, 0, 0, 0, 0, 9,
RGI60-02.00016,G234252E49462N,20049999,20069999,-125.748000000,  49.461800000, 2, 2,         0.921, 1194, 1668, 1434, 18.1,  51,  1805, 0, 0, 0, 0, 0, 9,
RGI60-02.00017,G234236E49464N,20049999,20069999,-125.764000000,  49.463500000, 2, 2,         0.998, 1367, 1691, 1554, 21.6, 354,   948, 0, 0, 0, 0, 0, 9,
RGI60-02.00018,G234354E49482N,20049999,20069999,-125.646000000,  49.481700000, 2, 2,         0.623, 1378, 1741, 1583, 24.4, 352,   546, 0, 0, 0, 0, 0, 9,
RGI60-02.00019,G234343E49480N,20049999,20069999,-125.657000000,  49.480200000, 2, 2,         0.132, 1416, 1625, 1481, 21.5, 308,   309, 0, 0, 0, 0, 0, 9,
RGI60-02.00020,G234500E49486N,20049999,20069999,-125.500000000,  49.486400000, 2, 2,         0.307, 1133, 1429, 1286, 22.0,   9,   811, 0, 0, 0, 0, 0, 9,
RGI60-02.00021,G237280E49507N,20049999,20069999,-122.720000000,  49.507400000, 2, 2,         0.163, 1394, 1596, 1470, 21.1, 350,   614, 0, 0, 0, 0, 0, 9,
RGI60-02.00022,G234261E49520N,20049999,20069999,-125.739000000,  49.519900000, 2, 2,         0.071, 1563, 1747, 1675, 21.4, 340,   437, 0, 0, 0, 0, 0, 9,
RGI60-02.00023,G234612E49531N,20049999,20069999,-125.388000000,  49.531100000, 2, 2,         0.540, 1557, 1939, 1715, 20.8,  60,   859, 0, 0, 0, 0, 0, 9,
RGI60-02.00024,G234604E49532N,20049999,20069999,-125.396000000,  49.531600000, 2, 2,         0.311, 1606, 1900, 1705, 13.9, 302,  1035, 0, 0, 0, 0, 0, 9,
RGI60-02.00025,G237891E49536N,20049999,20069999,-122.109000000,  49.535600000, 2, 2,         0.096, 1417, 1790, 1651, 30.9,   3,   385, 0, 0, 0, 0, 0, 9,
RGI60-02.00026,G237898E49539N,20049999,20069999,-122.102000000,  49.539200000, 2, 2,         0.104, 1249, 1583, 1413, 31.1, 348,   536, 0, 0, 0, 0, 0, 9,
RGI60-02.00027,G234272E49540N,20049999,20069999,-125.728000000,  49.540000000, 2, 2,         0.182, 1531, 1706, 1627, 18.8,  49,   516, 0, 0, 0, 0, 0, 9,
RGI60-02.00028,G234603E49540N,20049999,20069999,-125.397000000,  49.539700000, 2, 2,         0.747, 1503, 1800, 1589, 13.4, 280,  1323, 0, 0, 0, 0, 0, 9,
RGI60-02.00029,G234260E49544N,20049999,20069999,-125.740000000,  49.543900000, 2, 2,         0.050, 1280, 1422, 1333, 20.2, 328,   445, 0, 0, 0, 0, 0, 9,
RGI60-02.00030,G234393E49546N,20049999,20069999,-125.607000000,  49.546000000, 2, 2,         0.066, 1599, 1750, 1669, 25.5,   4,   372, 0, 0, 0, 0, 0, 9,
RGI60-02.00031,G234550E49547N,20049999,20069999,-125.450000000,  49.546700000, 2, 2,         0.151, 1694, 1836, 1777, 20.3,  48,   438, 0, 0, 0, 0, 0, 9,
RGI60-02.00032,G234557E49547N,20049999,20069999,-125.443000000,  49.546900000, 2, 2,         0.144, 1615, 1779, 1675, 18.0,   4,   444, 0, 0, 0, 0, 0, 9,
RGI60-02.00033,G234397E49547N,20049999,20069999,-125.603000000,  49.547000000, 2, 2,         0.084, 1500, 1663, 1547, 21.8,   9,   429, 0, 0, 0, 0, 0, 9,
RGI60-02.00034,G234617E49545N,20049999,20069999,-125.383000000,  49.545300000, 2, 2,         0.232, 1303, 1690, 1401, 36.1, 334,   495, 0, 0, 0, 0, 0, 9,
RGI60-02.00035,G234271E49549N,20049999,20069999,-125.728973389,  49.549373627, 2, 2,         0.051, 1266, 1409, 1307, 22.0,   0,   358, 0, 0, 0, 0, 0, 9,
RGI60-02.00036,G234543E49551N,20049999,20069999,-125.457000000,  49.550700000, 2, 2,         0.154, 1602, 1791, 1698, 24.9,  11,   472, 0, 0, 0, 0, 0, 9,
RGI60-02.00037,G234628E49551N,20049999,20069999,-125.372000000,  49.551100000, 2, 2,         0.201, 1526, 1888, 1644, 33.5, 327,   562, 0, 0, 0, 0, 0, 9,
RGI60-02.00038,G234647E49550N,20049999,20069999,-125.353000000,  49.550400000, 2, 2,         0.751, 1552, 1898, 1826, 16.1,  55,  1208, 0, 0, 0, 0, 0, 9,
RGI60-02.00039,G234650E49546N,20049999,20069999,-125.350000000,  49.545700000, 2, 2,         0.328, 1658, 1898, 1824, 15.5,  89,   868, 0, 0, 0, 0, 0, 9,
RGI60-02.00040,G234640E49552N,20049999,20069999,-125.360000000,  49.552400000, 2, 2,         0.220, 1526, 1929, 1873, 18.3,  19,   898, 0, 0, 0, 0, 0, 9,
RGI60-02.00041,G234637E49549N,20049999,20069999,-125.363000000,  49.549400000, 2, 2,         0.251, 1820, 1938, 1898,  9.1, 165,   459, 0, 0, 0, 0, 0, 9,
RGI60-02.00042,G234632E49559N,20049999,20069999,-125.368000000,  49.559400000, 2, 2,         0.060, 1107, 1270, 1176, 24.2, 331,   347, 0, 0, 0, 0, 0, 9,
RGI60-02.00043,G237926E49564N,20049999,20069999,-122.074000000,  49.564000000, 2, 2,         0.178, 1839, 2051, 1953, 23.5,  78,   470, 0, 0, 0, 0, 0, 9,
RGI60-02.00044,G234087E49566N,20049999,20069999,-125.913000000,  49.566300000, 2, 2,         0.150, 1427, 1651, 1538, 28.0,  27,   525, 0, 0, 0, 0, 0, 9,
RGI60-02.00045,G244577E49571N,20049999,20069999,-115.423000000,  49.571000000, 2, 3,         0.353, 2267, 2588, 2437, 20.8,  16,   875, 0, 0, 0, 0, 0, 9,
RGI60-02.00046,G234601E49578N,20049999,20069999,-125.399000000,  49.578100000, 2, 2,         0.139, 1801, 1972, 1913, 13.1,  76,   546, 0, 0, 0, 0, 0, 9,
RGI60-02.00047,G234593E49580N,20049999,20069999,-125.407000000,  49.580200000, 2, 2,         0.080, 1927, 2011, 1970, 15.2,  55,   358, 0, 0, 0, 0, 0, 9,
RGI60-02.00048,G237193E49575N,20049999,20069999,-122.807000000,  49.575300000, 2, 2,         0.580, 1484, 1860, 1710, 18.2,  24,  1374, 0, 0, 0, 0, 0, 9,
RGI60-02.00049,G237180E49577N,20049999,20069999,-122.820000000,  49.576800000, 2, 2,         1.033, 1461, 1881, 1714, 22.1, 339,  1085, 0, 0, 0, 0, 0, 9,
RGI60-02.00050,G237199E49572N,20049999,20069999,-122.801000000,  49.572000000, 2, 2,         0.151, 1650, 1842, 1769, 18.2,   3,   516, 0, 0, 0, 0, 0, 9,
RGI60-02.00051,G237932E49586N,20049999,20069999,-122.068000000,  49.585800000, 2, 2,         0.176, 1700, 2131, 1873, 33.9,  19,   543, 0, 0, 0, 0, 0, 9,
RGI60-02.00052,G234599E49584N,20049999,20069999,-125.401000000,  49.583700000, 2, 2,         0.307, 1731, 1986, 1873, 16.6,  54,   896, 0, 0, 0, 0, 0, 9,
RGI60-02.00053,G234588E49588N,20049999,20069999,-125.412000000,  49.588100000, 2, 2,         0.059, 1581, 1743, 1622, 29.9, 343,   276, 0, 0, 0, 0, 0, 9,
RGI60-02.00054,G237915E49588N,20049999,20069999,-122.085000000,  49.587700000, 2, 2,         0.324, 1722, 2003, 1866, 28.3,   3,   470, 0, 0, 0, 0, 0, 9,
RGI60-02.00055,G237906E49588N,20049999,20069999,-122.094000000,  49.587500000, 2, 2,         0.127, 1733, 2002, 1850, 26.8, 335,   475, 0, 0, 0, 0, 0, 9,
RGI60-02.00056,G237926E49589N,20049999,20069999,-122.074000000,  49.588500000, 2, 2,         0.267, 1483, 2013, 1643, 31.6,  17,   866, 0, 0, 0, 0, 0, 9,
RGI60-02.00057,G237759E49593N,20049999,20069999,-122.241000000,  49.592700000, 2, 2,         0.164, 1663, 1910, 1776, 30.4,   2,   450, 0, 0, 0, 0, 0, 9,
RGI60-02.00058,G237749E49589N,20049999,20069999,-122.251000000,  49.588900000, 2, 2,         0.320, 1677, 1964, 1840, 23.7, 322,   364, 0, 0, 0, 0, 0, 9,
RGI60-02.00059,G234602E49592N,20049999,20069999,-125.398000000,  49.591700000, 2, 2,         0.174, 1668, 1840, 1741, 20.6,  28,   436, 0, 0, 0, 0, 0, 9,
RGI60-02.00060,G234319E49599N,20049999,20069999,-125.681000000,  49.598700000, 2, 2,         0.070, 1585, 1690, 1624, 26.5,  11,   160, 0, 0, 0, 0, 0, 9,
RGI60-02.00061,G234329E49601N,20049999,20069999,-125.671000000,  49.601200000, 2, 2,         0.064, 1344, 1571, 1457, 27.1, 331,   486, 0, 0, 0, 0, 0, 9,
RGI60-02.00062,G237907E49610N,20049999,20069999,-122.093000000,  49.609700000, 2, 2,         0.133, 1551, 1778, 1685, 23.3,  20,   478, 0, 0, 0, 0, 0, 9,
RGI60-02.00063,G237913E49608N,20049999,20069999,-122.087000000,  49.607800000, 2, 2,         0.187, 1524, 1769, 1627, 20.9,  55,   670, 0, 0, 0, 0, 0, 9,
RGI60-02.00064,G234031E49627N,20049999,20069999,-125.969000000,  49.626600000, 2, 2,         0.071, 1517, 1664, 1606, 20.2, 280,   456, 0, 0, 0, 0, 0, 9,
RGI60-02.00065,G234030E49630N,20049999,20069999,-125.970000000,  49.630100000, 2, 2,         0.077, 1567, 1744, 1670, 19.2, 231,   358, 0, 0, 0, 0, 0, 9,
RGI60-02.00066,G234019E49633N,20049999,20069999,-125.981000000,  49.632800000, 2, 2,         0.091, 1436, 1583, 1505, 23.8, 332,   285, 0, 0, 0, 0, 0, 9,
RGI60-02.00067,G234034E49637N,20049999,20069999,-125.966000000,  49.637400000, 2, 2,         0.090, 1395, 1633, 1500, 37.1, 333,   325, 0, 0, 0, 0, 0, 9,
RGI60-02.00068,G234030E49634N,20049999,20069999,-125.970000000,  49.634000000, 2, 2,         0.168, 1446, 1771, 1667, 27.5, 326,   553, 0, 0, 0, 0, 0, 9,
RGI60-02.00069,G237792E49642N,20049999,20069999,-122.208000000,  49.642300000, 2, 2,         0.073, 1699, 1850, 1788, 22.6, 355,   354, 0, 0, 0, 0, 0, 9,
RGI60-02.00070,G237763E49644N,20049999,20069999,-122.237000000,  49.643900000, 2, 2,         0.092, 1329, 1536, 1428, 24.3,  62,   494, 0, 0, 0, 0, 0, 9,
RGI60-02.00071,G237727E49643N,20049999,20069999,-122.273000000,  49.643200000, 2, 2,         0.074, 1628, 1833, 1709, 25.1,  18,   407, 0, 0, 0, 0, 0, 9,
RGI60-02.00072,G237754E49644N,20049999,20069999,-122.246000000,  49.644200000, 2, 2,         0.075, 1721, 1943, 1816, 38.3,  84,   325, 0, 0, 0, 0, 0, 9,
RGI60-02.00073,G237721E49646N,20049999,20069999,-122.279000000,  49.645700000, 2, 2,         0.119, 1699, 1961, 1852, 24.7,  42,   625, 0, 0, 0, 0, 0, 9,
RGI60-02.00074,G237452E49652N,20049999,20069999,-122.548000000,  49.652200000, 2, 2,         0.064, 1660, 1872, 1732, 27.6, 278,   404, 0, 0, 0, 0, 0, 9,
RGI60-02.00075,G237723E49653N,20049999,20069999,-122.277000000,  49.652800000, 2, 2,         0.101, 1380, 1630, 1464, 22.7,  67,   587, 0, 0, 0, 0, 0, 9,
RGI60-02.00076,G237188E49654N,20049999,20069999,-122.812000000,  49.654100000, 2, 2,         0.666, 1564, 1953, 1724, 14.7,  49,  1533, 0, 0, 0, 0, 0, 9,
RGI60-02.00077,G237483E49655N,20049999,20069999,-122.517000000,  49.655000000, 2, 2,         0.059, 1650, 1786, 1703, 17.8, 308,   407, 0, 0, 0, 0, 0, 9,
RGI60-02.00078,G237167E49654N,20049999,20069999,-122.833000000,  49.654100000, 2, 2,         0.179, 1691, 1767, 1722, 10.7, 197,   577, 0, 0, 0, 0, 0, 9,
RGI60-02.00079,G237754E49652N,20049999,20069999,-122.246000000,  49.652300000, 2, 2,         0.372, 1576, 2073, 1820, 25.4,   8,  1137, 0, 0, 0, 0, 0, 9,
RGI60-02.00080,G237746E49648N,20049999,20069999,-122.254000000,  49.647700000, 2, 2,         0.239, 1725, 2154, 1889, 31.5, 317,   562, 0, 0, 0, 0, 0, 9,
RGI60-02.00081,G237490E49658N,20049999,20069999,-122.510000000,  49.658100000, 2, 2,         0.110, 1432, 1572, 1480, 24.9,  12,   376, 0, 0, 0, 0, 0, 9,
RGI60-02.00082,G237476E49660N,20049999,20069999,-122.524000000,  49.659900000, 2, 2,         0.124, 1640, 1717, 1650,  9.5, 121,   414, 0, 0, 0, 0, 0, 9,
RGI60-02.00083,G237176E49659N,20049999,20069999,-122.824000000,  49.658800000, 2, 2,         0.358, 1636, 1882, 1714, 16.6,  21,   728, 0, 0, 0, 0, 0, 9,
RGI60-02.00084,G237166E49661N,20049999,20069999,-122.834000000,  49.660800000, 2, 2,         0.148, 1649, 1900, 1733, 22.8,   9,   524, 0, 0, 0, 0, 0, 9,
RGI60-02.00085,G237715E49662N,20049999,20069999,-122.285000000,  49.662100000, 2, 2,         0.115, 1798, 2011, 1878, 26.8, 327,   548, 0, 0, 0, 0, 0, 9,
RGI60-02.00086,G234249E49665N,20049999,20069999,-125.751000000,  49.665000000, 2, 2,         0.086, 1640, 1952, 1779, 38.5, 277,   486, 0, 0, 0, 0, 0, 9,
RGI60-02.00087,G237157E49666N,20049999,20069999,-122.843000000,  49.665800000, 2, 2,         0.231, 1419, 1741, 1540, 23.4,  41,   910, 0, 0, 0, 0, 0, 9,
RGI60-02.00088,G234256E49667N,20049999,20069999,-125.744201660,  49.666877747, 2, 2,         0.051, 1654, 1928, 1760, 36.5,  72,   354, 0, 0, 0, 0, 0, 9,
RGI60-02.00089,G237439E49667N,20049999,20069999,-122.561000000,  49.666500000, 2, 2,         0.310, 1727, 2001, 1866, 25.7,  22,   666, 0, 0, 0, 0, 0, 9,
RGI60-02.00090,G234241E49663N,20049999,20069999,-125.759000000,  49.663100000, 2, 2,         0.309, 1221, 1752, 1539, 27.0, 355,  1222, 0, 0, 0, 0, 0, 9,
RGI60-02.00091,G237714E49670N,20049999,20069999,-122.286000000,  49.669900000, 2, 2,         0.070, 1327, 1498, 1385, 20.0,  26,   507, 0, 0, 0, 0, 0, 9,
RGI60-02.00092,G234257E49675N,20049999,20069999,-125.743000000,  49.675000000, 2, 2,         0.054, 1405, 1520, 1468, 24.5,  76,   255, 0, 0, 0, 0, 0, 9,
RGI60-02.00093,G237531E49675N,20049999,20069999,-122.469000000,  49.674900000, 2, 2,         0.141, 1655, 1844, 1760, 29.0,  63,   458, 0, 0, 0, 0, 0, 9,
RGI60-02.00094,G237448E49665N,20049999,20069999,-122.552000000,  49.664500000, 2, 2,         1.387, 1590, 2039, 1815, 14.2,  10,  2454, 0, 0, 0, 0, 0, 9,
RGI60-02.00095,G237472E49668N,20049999,20069999,-122.528000000,  49.668000000, 2, 2,         0.266, 1730, 1875, 1829,  8.8,  18,   935, 0, 0, 0, 0, 0, 9,
RGI60-02.00096,G237469E49664N,20049999,20069999,-122.531000000,  49.664400000, 2, 2,         0.133, 1825, 1989, 1849, 13.5,  74,   573, 0, 0, 0, 0, 0, 9,
RGI60-02.00097,G237466E49656N,20049999,20069999,-122.534000000,  49.655600000, 2, 2,         0.675, 1594, 2028, 1821, 20.2,  85,  1392, 0, 0, 0, 0, 0, 9,
RGI60-02.00098,G237460E49670N,20049999,20069999,-122.540000000,  49.669900000, 2, 2,         1.653, 1519, 2042, 1668, 13.3, 356,  2420, 0, 0, 0, 0, 0, 9,
RGI60-02.00099,G234585E49677N,20049999,20069999,-125.415000000,  49.677300000, 2, 2,         0.209, 1589, 1786, 1652, 29.7,   9,   280, 0, 0, 0, 0, 0, 9,
RGI60-02.00100,G234251E49675N,20049999,20069999,-125.749000000,  49.674600000, 2, 2,         0.100, 1575, 1794, 1673, 33.3,  64,   301, 0, 0, 0, 0, 0, 9,
RGI60-02.00101,G234248E49677N,20049999,20069999,-125.752000000,  49.677200000, 2, 2,         0.125, 1509, 1823, 1731, 27.6,  41,   561, 0, 0, 0, 0, 0, 9,
RGI60-02.00102,G234572E49680N,20049999,20069999,-125.428000000,  49.679800000, 2, 2,         0.082, 1710, 1889, 1810, 30.0,  42,   372, 0, 0, 0, 0, 0, 9,
RGI60-02.00103,G234117E49681N,20049999,20069999,-125.883000000,  49.680800000, 2, 2,         0.112, 1309, 1548, 1370, 24.7,   4,   475, 0, 0, 0, 0, 0, 9,
RGI60-02.00104,G237526E49680N,20049999,20069999,-122.474000000,  49.680200000, 2, 2,         0.145, 1665, 1875, 1759, 24.6,  24,   523, 0, 0, 0, 0, 0, 9,
RGI60-02.00105,G234248E49682N,20049999,20069999,-125.752000000,  49.682100000, 2, 2,         0.053, 1315, 1438, 1360, 23.0, 359,   280, 0, 0, 0, 0, 0, 9,
RGI60-02.00106,G237171E49686N,20049999,20069999,-122.829000000,  49.685800000, 2, 2,         0.189, 1646, 1889, 1754, 21.3, 359,   847, 0, 0, 0, 0, 0, 9,
RGI60-02.00107,G237470E49693N,20049999,20069999,-122.530000000,  49.693200000, 2, 2,         0.118, 1629, 1775, 1671, 22.1,  54,   396, 0, 0, 0, 0, 0, 9,
RGI60-02.00108,G237448E49691N,20049999,20069999,-122.552000000,  49.690500000, 2, 2,         1.778, 1520, 2146, 1793, 14.2, 357,  2221, 0, 0, 0, 0, 0, 9,
RGI60-02.00109,G237438E49686N,20049999,20069999,-122.562000000,  49.686400000, 2, 2,         0.054, 1922, 2125, 2032, 26.5,   2,   517, 0, 0, 0, 0, 0, 9,
RGI60-02.00110,G237448E49683N,20049999,20069999,-122.552000000,  49.682800000, 2, 2,         0.130, 1784, 2046, 1923, 18.3,  97,   604, 0, 0, 0, 0, 0, 9,
RGI60-02.00111,G237461E49693N,20049999,20069999,-122.539000000,  49.693300000, 2, 2,         0.137, 1767, 1888, 1776, 12.1, 314,   587, 0, 0, 0, 0, 0, 9,
RGI60-02.00112,G237463E49697N,20049999,20069999,-122.537000000,  49.697300000, 2, 2,         0.194, 1696, 1794, 1729, 10.2,  48,   548, 0, 0, 0, 0, 0, 9,
RGI60-02.00113,G237434E49713N,20049999,20069999,-122.566000000,  49.712900000, 2, 2,         0.058, 1804, 2043, 1903, 27.1, 353,   476, 0, 0, 0, 0, 0, 9,
RGI60-02.00114,G237438E49713N,20049999,20069999,-122.562000000,  49.712500000, 2, 2,         0.281, 1720, 2053, 1892, 26.2,  27,   587, 0, 0, 0, 0, 0, 9,
RGI60-02.00115,G238070E49716N,20049999,20069999,-121.930000000,  49.715700000, 2, 2,         0.312, 1805, 2198, 1978, 27.6, 140,   964, 0, 0, 0, 0, 0, 9,
RGI60-02.00116,G237440E49720N,20049999,20069999,-122.560000000,  49.719700000, 2, 2,         0.062, 1409, 1547, 1448, 16.5,  47,   485, 0, 0, 0, 0, 0, 9,
RGI60-02.00117,G237438E49720N,20049999,20069999,-122.562000000,  49.720100000, 2, 2,         0.082, 1411, 1528, 1442, 16.3,   3,   376, 0, 0, 0, 0, 0, 9,
RGI60-02.00118,G234346E49723N,20049999,20069999,-125.654000000,  49.723000000, 2, 2,         0.364, 1819, 2049, 1932, 21.8, 314,   586, 0, 0, 0, 0, 0, 9,
RGI60-02.00119,G234213E49729N,20049999,20069999,-125.787000000,  49.728500000, 2, 2,         0.114, 1453, 1859, 1719, 30.8,  60,   701, 0, 0, 0, 0, 0, 9,
RGI60-02.00120,G234213E49725N,20049999,20069999,-125.787000000,  49.724900000, 2, 2,         0.184, 1700, 1890, 1797, 22.9,  74,   548, 0, 0, 0, 0, 0, 9,
RGI60-02.00121,G242878E49728N,20049999,20069999,-117.122000000,  49.728100000, 2, 3,         0.184, 2428, 2699, 2576, 28.1,  67,   561, 0, 0, 0, 0, 0, 9,
RGI60-02.00122,G237383E49730N,20049999,20069999,-122.617000000,  49.730000000, 2, 2,         0.110, 1626, 1749, 1676, 22.5, 249,   381, 0, 0, 0, 0, 0, 9,
RGI60-02.00123,G237387E49732N,20049999,20069999,-122.613487244,  49.731662750, 2, 2,         0.083, 1732, 1915, 1824, 33.2, 256,   247, 0, 0, 0, 0, 0, 9,
RGI60-02.00124,G238057E49718N,20049999,20069999,-121.943000000,  49.718000000, 2, 2,         0.363, 2100, 2313, 2181, 15.5, 192,   539, 0, 0, 0, 0, 0, 9,
RGI60-02.00125,G238045E49718N,20049999,20069999,-121.955000000,  49.718100000, 2, 2,         0.645, 2086, 2220, 2156,  9.0, 304,   802, 0, 0, 0, 0, 0, 9,
RGI60-02.00126,G238070E49724N,20049999,20069999,-121.930000000,  49.724000000, 2, 2,         3.788, 1691, 2315, 2029, 18.6,  23,  1933, 0, 0, 0, 0, 0, 9,
RGI60-02.00127,G238045E49735N,20049999,20069999,-121.955000000,  49.734800000, 2, 2,         0.105, 2118, 2214, 2173, 17.0,  94,   247, 0, 0, 0, 0, 0, 9,
RGI60-02.00128,G237386E49736N,20049999,20069999,-122.614000000,  49.735800000, 2, 2,         0.080, 1874, 2079, 1972, 35.4, 266,   237, 0, 0, 0, 0, 0, 9,
RGI60-02.00129,G237161E49741N,20049999,20069999,-122.839000000,  49.741000000, 2, 2,         0.118, 1586, 1717, 1641, 20.6,  76,   417, 0, 0, 0, 0, 0, 9,
RGI60-02.00130,G237391E49740N,20049999,20069999,-122.609000000,  49.740000000, 2, 2,         0.364, 1793, 2205, 2054, 24.3, 152,   888, 0, 0, 0, 0, 0, 9,
RGI60-02.00131,G237465E49742N,20049999,20069999,-122.535000000,  49.741600000, 2, 2,         0.715, 1604, 1890, 1737, 15.0,  96,  1322, 0, 0, 0, 0, 0, 9,
RGI60-02.00132,G237457E49743N,20049999,20069999,-122.543000000,  49.742500000, 2, 2,         0.087, 1824, 1902, 1850, 11.9,  93,   442, 0, 0, 0, 0, 0, 9,
RGI60-02.00133,G237152E49746N,20049999,20069999,-122.848000000,  49.746200000, 2, 2,         0.064, 1724, 1795, 1764, 15.0, 297,   302, 0, 0, 0, 0, 0, 9,
RGI60-02.00134,G237153E49743N,20049999,20069999,-122.847000000,  49.743200000, 2, 2,         0.193, 1687, 1998, 1794, 22.3,  69,   891, 0, 0, 0, 0, 0, 9,
RGI60-02.00135,G237145E49744N,20049999,20069999,-122.855000000,  49.743700000, 2, 2,         0.243, 1714, 2009, 1906, 23.5,   0,   726, 0, 0, 0, 0, 0, 9,
RGI60-02.00136,G238055E49741N,20049999,20069999,-121.945000000,  49.740900000, 2, 2,         0.423, 1951, 2183, 2056, 12.9, 135,   709, 0, 0, 0, 0, 0, 9,
RGI60-02.00137,G238049E49744N,20049999,20069999,-121.951000000,  49.743500000, 2, 2,         0.563, 1885, 2191, 2055, 16.0, 321,  1006, 0, 0, 0, 0, 0, 9,
RGI60-02.00138,G238068E49749N,20049999,20069999,-121.932000000,  49.749300000, 2, 2,         0.105, 2072, 2275, 2163, 20.9, 111,   527, 0, 0, 0, 0, 0, 9,
RGI60-02.00139,G238080E49750N,20049999,20069999,-121.920000000,  49.750200000, 2, 2,         0.109, 1885, 2101, 2027, 26.1,  54,   478, 0, 0, 0, 0, 0, 9,
RGI60-02.00140,G237344E49747N,20049999,20069999,-122.656000000,  49.747200000, 2, 2,         0.761, 1760, 2179, 1901, 20.7, 259,  1164, 0, 0, 0, 0, 0, 9,
RGI60-02.00141,G236658E49747N,20049999,20069999,-123.342000000,  49.747300000, 2, 2,         0.472, 1610, 2035, 1834, 27.4, 323,   820, 0, 0, 0, 0, 0, 9,
RGI60-02.00142,G234146E49751N,20049999,20069999,-125.854000000,  49.751000000, 2, 2,         0.267,  969, 1186, 1043, 29.4,  37,   428, 0, 0, 0, 0, 0, 9,
RGI60-02.00143,G237336E49756N,20049999,20069999,-122.664000000,  49.756200000, 2, 2,         0.313, 1807, 2051, 1926, 18.7, 206,   906, 0, 0, 0, 0, 0, 9,
RGI60-02.00144,G238046E49758N,20049999,20069999,-121.954000000,  49.757500000, 2, 2,         0.300, 1939, 2366, 2141, 31.8, 296,   763, 0, 0, 0, 0, 0, 9,
RGI60-02.00145,G242840E49757N,20049999,20069999,-117.160000000,  49.756700000, 2, 3,         0.531, 2456, 2764, 2664, 17.0, 348,  1258, 0, 0, 0, 0, 0, 9,
RGI60-02.00146,G242849E49755N,20049999,20069999,-117.151000000,  49.754600000, 2, 3,         0.375, 2486, 2761, 2643, 19.0,  43,   831, 0, 0, 0, 0, 0, 9,
RGI60-02.00147,G242863E49749N,20049999,20069999,-117.137000000,  49.749000000, 2, 3,         1.801, 2258, 2759, 2597, 19.2,  33,  1738, 0, 0, 0, 0, 0, 9,
RGI60-02.00148,G237571E49761N,20049999,20069999,-122.429000000,  49.760700000, 2, 2,         0.247, 1847, 2174, 2006, 30.5,  30,   621, 0, 0, 0, 0, 0, 9,
RGI60-02.00149,G237326E49760N,20049999,20069999,-122.674000000,  49.759500000, 2, 2,         0.085, 1859, 2145, 2013, 25.2, 283,   652, 0, 0, 0, 0, 0, 9,
